10/08/2022,Man United,Leicester,2,1,H,A Marriner
11/08/2022,Bournemouth,Cardiff,2,0,H,K Friend
11/08/2022,Fulham,Crystal Palace,0,2,A,M Dean
11/08/2022,Huddersfield,Chelsea,0,3,A,C Kavanagh
11/08/2022,Newcastle,Tottenham,1,2,A,M Atkinson
11/08/2022,Watford,Brighton,2,0,H,J Moss
11/08/2022,Wolves,Everton,2,2,D,C Pawson
12/08/2022,Arsenal,Man City,0,2,A,M Oliver
12/08/2022,Liverpool,West Ham,4,0,H,A Taylor
12/08/2022,Southampton,Burnley,0,0,D,G Scott
18/08/2022,Cardiff,Newcastle,0,0,D,C Pawson
18/08/2022,Chelsea,Arsenal,3,2,H,M Atkinson
18/08/2022,Everton,Southampton,2,1,H,L Mason
18/08/2022,Leicester,Wolves,2,0,H,M Dean
18/08/2022,Tottenham,Fulham,3,1,H,A Taylor
18/08/2022,West Ham,Bournemouth,1,2,A,S Attwell
19/08/2022,Brighton,Man United,3,2,H,K Friend
19/08/2022,Burnley,Watford,1,3,A,P Tierney
19/08/2022,Man City,Huddersfield,6,1,H,A Marriner
20/08/2022,Crystal Palace,Liverpool,0,2,A,M Oliver
25/08/2022,Arsenal,West Ham,3,1,H,G Scott
25/08/2022,Bournemouth,Everton,2,2,D,L Probert
25/08/2022,Huddersfield,Cardiff,0,0,D,M Oliver
25/08/2022,Liverpool,Brighton,1,0,H,C Kavanagh
25/08/2022,Southampton,Leicester,1,2,A,J Moss
25/08/2022,Wolves,Man City,1,1,D,M Atkinson
26/08/2022,Fulham,Burnley,4,2,H,D Coote
26/08/2022,Newcastle,Chelsea,1,2,A,P Tierney
26/08/2022,Watford,Crystal Palace,2,1,H,A Taylor
27/08/2022,Man United,Tottenham,0,3,A,C Pawson
01/09/2022,Brighton,Fulham,2,2,D,L Probert
01/09/2022,Chelsea,Bournemouth,2,0,H,L Mason
01/09/2022,Crystal Palace,Southampton,0,2,A,M Atkinson
01/09/2022,Everton,Huddersfield,1,1,D,S Attwell
01/09/2022,Leicester,Liverpool,1,2,A,P Tierney
01/09/2022,Man City,Newcastle,2,1,H,K Friend
01/09/2022,West Ham,Wolves,0,1,A,C Kavanagh
02/09/2022,Burnley,Man United,0,2,A,J Moss
02/09/2022,Cardiff,Arsenal,2,3,A,A Taylor
02/09/2022,Watford,Tottenham,2,1,H,A Marriner
15/09/2022,Bournemouth,Leicester,4,2,H,C Pawson
15/09/2022,Chelsea,Cardiff,4,1,H,J Moss
15/09/2022,Huddersfield,Crystal Palace,0,1,A,L Mason
15/09/2022,Man City,Fulham,3,0,H,S Attwell
15/09/2022,Newcastle,Arsenal,1,2,A,L Probert
15/09/2022,Tottenham,Liverpool,1,2,A,M Oliver
15/09/2022,Watford,Man United,1,2,A,M Dean
16/09/2022,Everton,West Ham,1,3,A,M Atkinson
16/09/2022,Wolves,Burnley,1,0,H,A Marriner
